year,q_raw,income_real,pchick,pbeef,pcor,pf,cpi,qproda,pop,meatex,time,price_chick_real,price_beef_real,price_corn_real,qc,y,pb,pc,pc2,pc3,pc_l1,pc2_l1,exp_pc,exp_pc2,exp_pc3,exp_pc_l1,exp_pc2_l1
1977,29,15256,77.3,59.5,88,0.24339906251810747,60.6,9279454,220.239,180,68,1.2755775577557755,0.9818481848184818,1.4521452145214522,3.367295829986474,9.632728147280256,-0.018318580523684746,0.37304192140293774,0.13916027512399556,0.05191261641521675,0.6371253065953988,0.40592865630428093,1.4521452145214522,1.1493082907714243,1.0532836987864742,1.89103690685413,1.5006954834767767
1978,30.4,15845,85.6,73.1,92,0.27222581421508896,65.2,9902015,222.585,204,69,1.3128834355828218,1.121165644171779,1.411042944785276,3.414442608412176,9.670609272125022,0.11436889782312543,0.3443291081164329,0.11856253469625815,0.0408245318279862,0.37304192140293774,0.13916027512399556,1.411042944785276,1.1258772782942321,1.0416693096989063,1.4521452145214522,1.1493082907714243
1979,32.8,16120,87.2,93.1,104.5,0.18323940908418365,72.6,10926345,225.055,210,70,1.2011019283746558,1.2823691460055098,1.4393939393939394,3.490428515390098,9.68781601606062,0.2487092624522711,0.3642221495741153,0.13265777424038921,0.04831689969155226,0.3443291081164329,0.11856253469625815,1.4393939393939394,1.1418591578392066,1.049503189868793,1.411042944785276,1.1258772782942321
1980,32.7,16063,94.4,98.4,119.2,0.13595563623602894,82.4,11251965,227.726,194,71,1.145631067961165,1.1941747572815533,1.4466019417475728,3.487375077903208,9.684273769557766,0.17745536714278165,0.3692173177158234,0.13632142770126726,0.05033223188305345,0.3642221495741153,0.13265777424038921,1.4466019417475728,1.146050206682147,1.0516204201770116,1.4393939393939394,1.1418591578392066
1981,33.7,16265,96.5,99.2,125.9,0.0597830071615071,90.9,11868104,229.966,239,72,1.0616061606160616,1.0913091309130913,1.385038503850385,3.517497837358316,9.696770838907451,0.08737801310739399,0.32572793986686827,0.10609869080991415,0.03455930798008516,0.3692173177158234,0.13632142770126726,1.385038503850385,1.1119316085226851,1.0351634200070883,1.4466019417475728,1.146050206682147
1982,33.9,16328,94.8,100.6,100,-0.017773599083964163,96.5,11995693,232.188,212,73,0.9823834196891191,1.0424870466321243,1.0362694300518134,3.5234150143864045,9.70063670448968,0.041609249320698566,0.035627177643151035,0.001269295786816641,4.522142647861963e-5,0.32572793986686827,0.10609869080991415,1.0362694300518134,1.0012701016836516,1.0000452224489826,1.385038503850385,1.1119316085226851
1983,34,16673,96.3,99.1,128.4,-0.033693845786472644,99.6,12325516,234.307,224,74,0.9668674698795181,0.9949799196787149,1.2891566265060241,3.5263605246161616,9.721545923560459,-0.005032723254610195,0.2539882266653083,0.06451001928458802,0.016384785400237353,0.035627177643151035,0.001269295786816641,1.2891566265060241,1.0666362651234036,1.016519752122558,1.0362694300518134,1.0012701016836516
1984,35.3,17799,109,100.3,129.7,0.04791898412396193,103.9,12920828,236.348,226,75,1.0490856592877766,0.9653512993262752,1.2483156881616937,3.563882963939251,9.786897554926753,-0.03526320313729196,0.2217951932172163,0.04919310773426231,0.010910794834876046,0.2539882266653083,0.06451001928458802,1.2483156881616937,1.0504231759953682,1.0109705346286928,1.2891566265060241,1.0666362651234036
1985,36.4,18229,104.5,98.2,105.9,-0.02923357632281824,107.6,13519558,238.466,209,76,0.971189591078067,0.9126394052044611,0.9842007434944239,3.594568774642695,9.810769011532921,-0.09141443236726372,-0.015925395120323177,2.5361820973841327e-4,-4.038970199793227e-6,0.2217951932172163,0.04919310773426231,0.9842007434944239,1.0002536503735555,0.9999959610379568,1.2483156881616937,1.0504231759953682
1986,37.2,18641,115.4,98.8,83.5,0.05156697956008415,109.6,14180145,240.651,278,77,1.0529197080291972,0.9014598540145986,0.7618613138686132,3.616308761279101,9.833118734869245,-0.10373976976009296,-0.27199074265710527,0.07397896409116367,-0.020121593384158927,-0.015925395120323177,2.5361820973841327e-4,0.7618613138686132,1.076784154124672,0.9800794948787209,0.9842007434944239,1.0002536503735555
1987,39.4,18870,113.3,106.3,67.7,-0.002644338253090313,113.6,15413103,242.804,326,78,0.9973591549295775,0.9357394366197184,0.5959507042253521,3.673765816303888,9.845328638362595,-0.06641822093914868,-0.5175973263688216,0.26790699226415243,-0.13866794291143789,-0.27199074265710527,0.07397896409116367,0.5959507042253521,1.3072255522718645,0.8705170418255797,0.7618613138686132,1.076784154124672
1988,39.6,19522,125.1,112.1,97.1,0.05588964648852425,118.3,16006986,245.021,401,79,1.0574809805579035,0.9475908706677937,0.8207945900253593,3.6788291182604347,9.879297313734911,-0.05383244090622693,-0.19748239568706186,0.03899929660630127,-0.007701674523922676,-0.5175973263688216,0.26790699226415243,0.8207945900253593,1.0397697522824088,0.9923279073792011,0.5959507042253521,1.3072255522718645
1989,40.9,19833,137.1,119.3,102.4,0.10042902096323189,124,17227111,247.342,583,80,1.1056451612903226,0.9620967741935483,0.8258064516129032,3.711130063048756,9.895102496001687,-0.03864023650116649,-0.19139485299962947,0.03663198975474977,-0.0070111742941942655,-0.19748239568706186,0.03899929660630127,0.8258064516129032,1.0373112094346273,0.9930133466479644,0.8207945900253593,1.0397697522824088
1990,42.4,20058,134.9,128.8,100.9,0.03162914258353404,130.7,18429897,249.973,564,81,1.0321346595256313,0.9854628921193574,0.7719969395562357,3.7471483622379123,9.906383355648154,-0.014643806959922881,-0.2587746932706129,0.0669643418772998,-0.017328677029366715,-0.19139485299962947,0.03663198975474977,0.7719969395562357,1.0692573497850342,0.9828206009871985,0.8258064516129032,1.0373112094346273
1991,44.1,19873,131.7,132.4,97,-0.03359778496617667,136.2,19591105,253.336,667,82,0.9669603524229075,0.972099853157122,0.7121879588839942,3.7864597824528,9.897117305528285,-0.028296750212504038,-0.33941341521202906,0.11520146642589324,-0.03910092315704632,-0.2587746932706129,0.0669643418772998,0.7121879588839942,1.1220994801729434,0.9616536511262914,0.7719969395562357,1.0692573497850342
1992,46.5,20220,131.9,132.3,96,-0.06173892738514633,140.3,20903765,256.677,786,83,0.940128296507484,0.9429793300071276,0.6842480399144689,3.8394523125933104,9.914427492574463,-0.0587109159875052,-0.37943479564057914,0.14397076414280804,-0.05462751747074439,-0.33941341521202906,0.11520146642589324,0.6842480399144689,1.1548503449915988,0.946837762802655,0.7121879588839942,1.1220994801729434
1993,48.2,20235,138,137.1,92.9,-0.04602582239528218,144.5,22014911,260.037,780,84,0.9550173010380623,0.9487889273356401,0.6429065743944637,3.8753590210565547,9.915169057309965,-0.05256892098421815,-0.4417558617326939,0.19514824137519496,-0.08620787953431899,-0.37943479564057914,0.14397076414280804,0.6429065743944637,1.215491159215854,0.9174035019837105,0.6842480399144689,1.1548503449915988
1994,48.8,20507,140.1,136,100.1,-0.05620625951902521,148.2,23666035,263.226,980,85,0.9453441295546559,0.9176788124156546,0.6754385964912281,3.8877303128591016,9.92852157025577,-0.08590782712593438,-0.39239302654081165,0.1539722872778581,-0.060417651808370054,-0.4417558617326939,0.19514824137519496,0.6754385964912281,1.1664585605885385,0.9413712860497268,0.6429065743944637,1.215491159215854
1995,48.2,20798,142.2,134.9,109,-0.06927412588340551,152.4,24827130,266.364,1183,86,0.9330708661417322,0.8851706036745407,0.7152230971128609,3.8753590210565547,9.942612107220178,-0.12197488003883568,-0.33516076102340214,0.11233273572978608,-0.03764952519503582,-0.39239302654081165,0.1539722872778581,0.7152230971128609,1.118885091761869,0.9630504066545643,0.6754385964912281,1.1664585605885385
1996,48.8,21072,152.6,134.5,158.5,-0.02778854088863037,156.9,26123767,269.485,1291,87,0.9725940089228807,0.8572339069471,1.010197578075207,3.8877303128591016,9.955700423983062,-0.15404446069709318,0.010145933578348306,1.0293996817625566e-4,1.0444220796735784e-6,-0.33516076102340214,0.11233273572978608,1.010197578075207,1.0001029452666765,1.000001044422625,0.7152230971128609,1.118885091761869
1997,49.5,21470,158.5,136.8,110.1,-0.012539349252735251,160.5,27041394,272.756,1443,88,0.9875389408099688,0.852336448598131,0.685981308411215,3.901972669574645,9.974411890872826,-0.15977393738162032,-0.37690489884143624,0.1420573027706733,-0.053542093330467895,0.010145933578348306,1.0293996817625566e-4,0.685981308411215,1.1526426962647203,0.9478660413255371,1.010197578075207,1.0001029452666765
1998,49.8,22359,159.6,136.5,91.7,-0.021079515791053934,163,27612361,275.955,1543,89,0.9791411042944785,0.8374233128834356,0.5625766871165644,3.9080149840306073,10.014984203549803,-0.17742558618174786,-0.5752278215443433,0.3308870466786508,-0.19033543503820174,-0.37690489884143624,0.1420573027706733,0.5625766871165644,1.392202529526984,0.8266817893928172,0.685981308411215,1.1526426962647203
1999,52.9,22678,161.8,139.2,78.2,-0.02923472510835088,166.6,29741381,279.144,1674,90,0.9711884753901562,0.8355342136854742,0.46938775510204084,3.9684033388642534,10.029150570531785,-0.17968398183242304,-0.7563260821814769,0.5720291425879821,-0.43264056030719794,-0.5752278215443433,0.3308870466786508,0.46938775510204084,1.771858760226982,0.6487936520899343,0.5625766871165644,1.392202529526984
